repositorio,caminho,extensao,tamanho_bytes,sha256,status_git,classificacao,decisao,justificativa
sigo-clinicas-api,composer.lock,.lock,375108,952589cfcaa36ee3b9e651ebb47c6bc67a8411d84d4f69d633479eabac80c27d,tracked,Lockfile,full-content,conteúdo integral incluído
sigo-clinicas-api,config/application.config.php,.php,1185,4ea432bf0fb7f2d2e44c16c543a4fc8570b50a20331b776b116cf869e81daa17,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/.gitignore,,72,faf8950baf98af4710adaf3f87a6b619ae33da82b90198ef15c7adaac9f17c23,tracked,sem-extensão,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/aws.global.php,.php,782,43f45ff0258e8d5a21419e5fe3162ad7c3b43bd7cdb66c914f6c3ae127970239,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/cors.global-development.php,.php,229,72b3f9c6f78cf35166d26fe80307050405ec3e58f92a3994f7925cb8b8502fa5,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/cors.global.php,.php,1826,e37822014b42fe9f8196c75f5b3505fb1ad081f840f736882e01b661674734ce,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/doctrine.global-development.php,.php,1196,3783b524db196b614b394b6f757b2e854a95a51e1f98d5efd94f8eeac05f542f,tracked,PHP,full-content,conteúdo integral incluído (com valores sensíveis redigidos)
sigo-clinicas-api,config/autoload/doctrine.global.php,.php,5529,84a44d086b60e03a15d23b6fc9c337a769348f119223a90f242067ef4470bfbd,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/global-development.php,.php,457,6375cd71119c34ac3ae763463e05368ea84e6bf729deba46181f4bf540740da0,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/global.php,.php,1241,79ee7916181a45fd4ee9b8927e51e7055d56b812a8c10c7c9977d81b19adfd92,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/local.php.dist,.dist,526,f5ab6937f232356fe05d0de6ee5335c4da28b28ef0660ab794c3e0896dd8fa1f,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/oauth2.doctrine-orm.global.php,.php,15692,8efadba46c3698ad4b650177e0d921b0ecaef63cd3dd20e7aea90aad0fb8ff28,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/oauth2.doctrine-orm.mutatetablenames.global.php,.php,2660,e54a9aa2e74d4bd278ceeb8b411494b037ae2afce23ba22d93d37dcb6b99c3a8,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/oauth2.doctrine.permisisons.global.php,.php,238,6743a2077dd24afd6b99029d3e19237c46199494fe22f3db7031535a49e19e1c,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/README.md,.md,384,a312e448470cef4f98c99bbfe7927dbb739ce49763e4850c0a0770ce37d2a373,tracked,Markdown,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/user.global.php,.php,608,09ce33de032250bc3d6e6a41cb7b1bd60dfc9d31a4972d96020eb1da42dea1fe,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/zf-mvc-auth-oauth2-override.global.php,.php,429,cbf3239af685c046e1e6c0c04a07acab39af77b8cc2b7c3598cffafc0ee469e2,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/autoload/zfconfig.global.php,.php,293,4729db05d30c0b12a0fe28ef74a32726ab6b522e4e4f1a287fd0ad22f4329fad,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/development.config.php.dist,.dist,599,cfb5750f9895c00eeb1bab3a4575bacd966308edae7a74a2b83e4d3c0d317d86,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,config/modules.config.php,.php,1174,ff9f4df723273444b238d12f9c72bf3dde7f17360426b324d6b41fd3862773da,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,data/cache/.gitkeep,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,tracked,sem-extensão,full-content,conteúdo integral incluído
sigo-clinicas-api,data/DoctrineModule/cache/.gitkeep,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,tracked,sem-extensão,full-content,conteúdo integral incluído
sigo-clinicas-api,data/DoctrineORMModule/Proxy/.gitkeep,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,tracked,sem-extensão,full-content,conteúdo integral incluído
sigo-clinicas-api,docker-compose.yml,.yml,1068,7dbdb0cdbe6b722168db1c7eb2bb13efcc37f65f9f347cda0b24a96498c38a60,tracked,YAML,full-content,conteúdo integral incluído (com valores sensíveis redigidos)
sigo-clinicas-api,Dockerfile,,9471,951fce6a184b0cb927baeeaad85a857e483bc97326c71693dd98782794bb2571,tracked,Dockerfile,full-content,conteúdo integral incluído (com valores sensíveis redigidos)
sigo-clinicas-api,module/Application/config/module.config.php,.php,5586,e36b3a22a9cca6d1a9eee4a90f8c329a254af92cf5f9ac48e6b43dbf63479972,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/config/yaml/Application.Entity.Role.dcm.yml,.yml,380,9f4f2f2610810f90dc8f02f5f716d0e80b4a296c5e2fbdfecc8b062572932e04,tracked,YAML,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/config/yaml/Application.Entity.User.dcm.yml,.yml,728,f7f83e998cb6c655deee68ea94ca43dfe26f7c888597c985b1da23b8bbb2b760,tracked,YAML,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Controller/IndexController.php,.php,626,6fc2c67884222ba8c9d23aa0524d0f9aa94307bb5ea71e80b611590617c01353,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Controller/NotificationController.php,.php,5736,920fa8ef607d29d98d0af80624614e295ac020dce0cc6c9d25875b7549d82dc2,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Controller/NotificationControllerFactory.php,.php,1538,dd09d77c369a3468d050c3916b919a1504a2114fc8565184ecbb08cec1ca2e3e,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Entity/Role.php,.php,1097,6c2bfa8770609f8efc526b7a893afd379534cd8f584436d80e9091cbd2b22c61,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Entity/User.php,.php,10033,63c6cf5e6c75a518f607ba1bfd2aafdc5553f4d5691838b682d12585dca3ea12,tracked,PHP,full-content,conteúdo integral incluído
sigo-clinicas-api,module/Application/src/Filter/DateTimeFormatter.php,.php,813,e8d50bb30df9d4cc4ac9bc82f10d6d659af7e4d5cc3f06de042aa4a0d7f01447,tracked,PHP,full-content,conteúdo integral incluído
